       jd             rh            delta   phase                  r                  g
--------- -------------- ---------------- ------- ------------------ ------------------
2458041.5 2.643316936501 1.88930732942083 16.7988  18.70087279539556 19.198663144945627
2458042.5  2.64456046884 1.88235253304433 16.5659 18.686190632715697 19.183980982265762
2458043.5  2.64579720589 1.87557989671052 16.3306 18.671577599971393 19.169367949521458
2458044.5 2.647027137403 1.86899377516429 16.0933 18.657053018357228 19.154843367907294
2458045.5 2.648250253225 1.86259844602415 15.8543 18.642632946092196  19.14042329564226
2458046.5 2.649466543295 1.85639808932302 15.6139 18.628333443241697 19.126123792791763
2458047.5 2.650675997647 1.85039677214727 15.3725 18.614173912174603  19.11196426172467
2458048.5 2.651878606408  1.8445984384626 15.1303  18.60016698970503 19.097957339255096
2458049.5 2.653074359795 1.83900690345403  14.888  18.58634216810253 19.084132517652595
2458050.5 2.654263248119 1.83362585109406 14.6457 18.572708612606036   19.0704989621561
2458051.5 2.655445261781 1.82845883338306 14.4042 18.559299242212592 19.057089591762658
2458052.5 2.656620391271 1.82350926981734 14.1637 18.546126527010237 19.043916876560303
2458053.5 2.657788627172 1.81878044604279 13.9248  18.53321657081326 19.031006920363325
2458054.5 2.658949960153 1.81427551122325 13.6881  18.52059552879934 19.018385878349406
2458055.5 2.660104380972 1.80999747430959 13.4541 18.508286129194076  19.00607647874414
2458056.5 2.661251880477 1.80594920011589 13.2234  18.49631459275187 18.994104942301934
2458057.5 2.662392449601 1.80213340688548 12.9967  18.48471071843777 18.982501067987837
2458058.5 2.663526079364 1.79855266776977 12.7746  18.47350092917037 18.971291278720436
2458059.5 2.664652760872 1.79520941904084 12.5578  18.46271531101597 18.960505660566035
2458060.5 2.665772485317 1.79210597733046 12.3469 18.452380620790052 18.950170970340118
2458061.5 2.666885243976 1.78924456606954 12.1428  18.44253456670547 18.940324916255534
2458062.5 2.667991028206 1.78662734750655 11.9461 18.433204563426003 18.930994912976068
2458063.5 2.669089829452 1.78425645253192 11.7575  18.42442197616441 18.922212325714476
2458064.5 2.670181639237 1.78213399869753  11.578  18.41622949213534 18.914019841685406
2458065.5 2.671266449166 1.78026208944531 11.4082 18.408655859557932 18.906446209107997
2458066.5 2.672344250928 1.77864279387551 11.2489 18.401737469672547 18.899527819222612
2458067.5  2.67341503629 1.77727811272344 11.1008 18.395507406390482 18.893297755940548
2458068.5   2.6744787971 1.77616993907559 10.9647  18.39000263381094 18.887792983361006
2458069.5 2.675535525286 1.77532002116161 10.8413  18.38525651732783 18.883046866877894
2458070.5 2.676585212855 1.77472993128286 10.7312 18.381298589047987 18.879088938598052
2458071.5 2.677627851895  1.7744010418722 10.6351 18.378161773867927 18.875952123417992
2458072.5 2.678663434569 1.77433450793679 10.5535 18.375871037577095  18.87366138712716
2458073.5 2.679691953122 1.77453125466667 10.4868 18.374446844376113  18.87223719392618
2458074.5 2.680713399874 1.77499196923924 10.4354 18.373908701049995  18.87169905060006
2458075.5 2.681727767222  1.7757170962701 10.3996 18.374271238066925  18.87206158761699
2458076.5 2.682735047639 1.77670683662174 10.3796 18.375544049547177 18.873334399097242
2458077.5 2.683735233675 1.77796114928353 10.3754  18.37772781662173 18.875518166171794
2458078.5 2.684728317952 1.77947975584619 10.3869 18.380818022296854  18.87860837184692
2458079.5  2.68571429317 1.78126214686286  10.414  18.38480873374533 18.882599083295396
2458080.5 2.686693152099 1.78330758926581 10.4565  18.38968889790655 18.887479247456614
2458081.5 2.687664887583 1.78561513408088 10.5139 18.395434957759665  18.89322530730973
2458082.5 2.688629492539 1.78818362396331 10.5858   18.4020260506217 18.899816400171765
2458083.5 2.689586959954 1.79101170053662 10.6717 18.409436670440492 18.907227019990557
2458084.5 2.690537282889 1.79409781210492 10.7709  18.41763316936008 18.915423518910146
2458085.5 2.691480454471 1.79744022298156 10.8829  18.42658886278165 18.924379212331715
2458086.5   2.6924164679 1.80103702634043 11.0068 18.436261943987645  18.93405229353771
2458087.5 2.693345316446 1.80488616291054 11.1419  18.44661796662983 18.944408316179896
2458088.5 2.694266993445 1.80898544750964 11.2875 18.457622542041136   18.9554128915912
2458089.5 2.695181492305 1.81333260365522 11.4427 18.469234194104864  18.96702454365493
2458090.5 2.696088806501  1.8179253028888 11.6068   18.4814191374925 18.979209487042567
2458091.5 2.696988929576 1.82276120085493 11.7791  18.49414399297998 18.991934342530044
2458092.5 2.697881855142 1.82783795936141 11.9587 18.507368656403916  19.00515900595398
2458093.5  2.69876757688 1.83315324594186 12.1448 18.521057198638456  19.01884754818852
2458094.5 2.699646088542 1.83870471025732 12.3369 18.535184874012682 19.032975223562747
2458095.5  2.70051738395 1.84448994562836  12.534 18.549709467216307 19.047499816766372
2458096.5 2.701381456994 1.85050644825895 12.7356 18.564606911718446  19.06239726126851
2458097.5 2.702238301641 1.85675158442635  12.941  18.57984624443238 19.077636593982447
2458098.5 2.703087911928 1.86322257010392 13.1495 18.595396713016726  19.09318706256679
2458099.5 2.703930281963 1.86991646231212 13.3606  18.61123471706845 19.109025066618514
2458100.5  2.70476540593 1.87683015894939 13.5737 18.627333233620572 19.125123583170637
2458101.5 2.705593278082 1.88396040362786 13.7882  18.64366533921238 19.141455688762445
2458102.5 2.706413892744 1.89130379297204 14.0037 18.660211099111915  19.15800144866198
2458103.5 2.707227244311 1.89885678498722 14.2196 18.676943709305704  19.17473405885577
2458104.5 2.708033327247 1.90661570799871 14.4355  18.69384331422216 19.191633663772226
2458105.5 2.708832136082 1.91457677017159  14.651  18.71089007583745 19.208680425387517
2458106.5 2.709623665412 1.92273606977718 14.8657 18.728064189417108 19.225854538967173
2458107.5 2.710407909895 1.93108960628518 15.0793 18.745349286077214  19.24313963562728
2458108.5 2.711184864252 1.93963329216484 15.2913 18.762722273392477 19.260512622942542
2458109.5 2.711954523266  1.9483629651119 15.5015  18.78017028141565 19.277960630965715
2458110.5 2.712716881778 1.95727440038923 15.7097 18.797680461371886  19.29547081092195
2458111.5 2.713471934687 1.96636332313269 15.9154 18.815229982971605  19.31302033252167
2458112.5 2.714219676951 1.97562542082753 16.1186 18.832812862616258 19.330603212166324
2458113.5 2.714960103585 1.98505635664794 16.3189 18.850409833339388 19.348200182889453
2458114.5  2.71569320966 1.99465178486231 16.5162 18.868011750629872 19.365802100179938
2458115.5 2.716418990303 2.00440736984021 16.7102 18.885602957431715  19.38339330698178
2458116.5 2.717137440699 2.01431881000393 16.9009 18.903177874766634   19.4009682243167
2458117.5 2.717848556086 2.02438186684867 17.0881   18.9207244744214 19.418514823971467
2458118.5 2.718552331758 2.03459239650056 17.2716 18.938230955670928 19.436021305220994
2458119.5 2.719248763065 2.04494637753086 17.4514  18.95569230757075 19.453482657120816
2458120.5 2.719937845411 2.05543992577535 17.6272  18.97309394209593 19.470884291645994
2458121.5 2.720619574256  2.0660692878146 17.7991 18.990434566174013  19.48822491572408
2458122.5 2.721293945115 2.07683081127369 17.9669 19.007703282850112 19.505493632400178
2458123.5 2.721960953556 2.08772089947683 18.1306 19.024895839330703  19.52268618888077
2458124.5 2.722620595205 2.09873596404758 18.2901 19.042004814408873  19.53979516395894
